Line,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
"beare (like Dames Schoolemistresses their Riddles) Two Tongues, and be good only for a shift; Flatter great Lords, to put them still in minde Why they were made Lords: ",women,education,mental_faculty__state__entities,anatomy,deception,reproduction,social_status
"please portly Ladies With a good carriage, tell them idle Tales, To make their Physicke worke; ",feelings,women,economics,language,medicine,,
"spend a mans life In sights and visitations, that will make His eyes as hollow as his Mistresse heart:",economics,men,life,social_relations,anatomy,privation,women
"Beleeue backewards, make your Period And Creedes last Article; And (hearing villanies preacht) t' vnfold their Art Learne to commit them,",mental_faculty__state__entities,spatial,religion,sensations,ethics,education,
"I, in a threadbare suit;  They must have high Naps, and go from thence bare: A man may drown the parts often rich men In one poore suit; ",clothes,anatomy,men,violence,economics,,
"Braue Barks, and outward Glosse Attract Court eyes",character_traits__nature,nature,appearance,light,politics,anatomy,
"Thou shalt have Glosse enough, and all things fit T'enchase in all shew, your long smothered spirit:",light,hunting__fishing,appearance,violence,character_traits__nature,,
"blinde Fortunes powerfull hands with wings, To shew her gifts come swift and suddenly,",deformities__disabilities,mystical,anatomy,animals,economics,speed,
"It is to sow them Vpon my spirit, and make them spring a Crown Worth Millions of the seed",architecture,religion,politics,economics,,,
But hee's no husbandman heere; A smooth plaine ground Will neuer nourish any politicke seede;,architecture,character_traits__nature,nature,politics,,,
rise in Court with vertue; speede his plow:,physical_activities,politics,ethics,speed,architecture,,
my Fortune neuer fit the length Of both their vnderstandings,mystical,clothes,spatial,mental_faculty__state__entities,,,
"There is a deepe nicke in times restlesse wheele For each mans good, when which nicke comes it strikes;",spatial,music,time,feelings,ethics,violence,
"As Rhetoricke, yet workes not perswasion, But only is a meane to make it worke: So no man riseth by his reall merit, But when it cries Clincke in his Raisers spirit:",language,mental_faculty__state__entities,economics,physical_activities,recognition,sounds,character_traits__nature
"Mans first houres rise, is first steppe to his fall.",men,time,physical_activities,movement,destruction,,
"men that fall low must die, As well as men cast headlong from the skie.",men,destruction,spatial,death,violence,nature,
"you have opened my dull eies, I see you; And would be glad to see the good you speake of:",discovering,anatomy,sensations,feelings,ethics,language,
"A hundred [crowns...], his hand is larger",quantities,economics,anatomy,size,,,
"I would to heaven I were an errant Asse, For then I should be sure to have the Eares Of these great men, where now their Iesters have them:",religion,animals,geography,anatomy,social_status,theatre,
"These Crowns are sown in blood, blood be their fruit.",economics,architecture,anatomy,violence,food,,
"much enricht In the attendance of this English virgin,",economics,social_relations,ethnicity__nationality,sexuality,,,
"their Court forme, it is too crestfalne",politics,appearance,feelings,,,,
making Semi-gods Of their great Nobles;,religion,politics,,,,,
"[making] of their old Queene An euer-yoong, and most immortall Goddesse.",lifes_cycle,politics,time,religion,,,
"The world is not contracted in a man, With more proportion and expression Than in her Court, her Kingdome",nature,size,men,spatial,language,politics,
Our French Court Is a meere mirror of confusion to it:,ethnicity__nationality,politics,art,social_unrest,,,
"The King and subiect, Lord and euerie slave Dance a continuall Haie;",politics,social_status,joviality,time,,,
"Our Roomes of State, Kept like our stables; ",architecture,politics,equestrian,,,,
No place more obseru'd Than a rude Market place:,spatial,sensations,economics,,,,
"our Custome Keepe this assur'd deformitie from our sight,",etiquette,deformities__disabilities,sensations,,,,
"Where the Kings change doth breede the Subiects terror,",politics,reproduction,emotions,,,,
"Neuer were men so wearie of their Skins, And apt to leape out of themselues as they [the English men] ;",time,men,mental_faculty__state__entities,anatomy,physical_activities,spatial,ethnicity__nationality
"Their [English men] Braines lie with their Tailors, and get babies For their most complete issue; ",men,ethnicity__nationality,anatomy,clothes,reproduction,,
"He's first borne To all the morall vertues, that first greetes The light with a new fashion",lifes_cycle,ethics,greetings,light,etiquette,,
"becomes them Like Apes, disfigur'd with the attires of men.",etiquette,animals,deformities__disabilities,clothes,humanity,,
they [English men] much wrong their reall worth In affectation of outlandish Scumme;,men,ethnicity__nationality,ethics,economics,deception,politics,social_status
They [English men] foolish-proud To be the Pictures of our vanitie;,men,ethnicity__nationality,mental_faculty__state__entities,character_traits__nature,art,,
we (in feare to make milde vertue proud) Vse not to seeke her out in any man.,emotions,ethics,discovering,women,character_traits__nature,men,
"Nor doth she [Vertue] vse to seeke out any man: He that will winne, must wooe her; shee's not shamelesse.",women,ethics,discovering,men,games__sports,courting,character_traits__nature
"If you have woo'd and won, then Brother wear him.",courting,familial,clothes,,,,
I'le enseame thee [with the ladies]; ,clothes,women,,,,,
"If you enter him in our Graces, me thinks by his blunt behauiour, he should come out of himselfe.",spatial,social_status,etiquette,mental_faculty__state__entities,character_traits__nature,,
why did the Toy [to be a courtier] take him in th'head now?,games__sports,politics,anatomy,,,,
Heere's a Courtier rotten before he be ripe.,politics,consumption,architecture,,,,
Cut my throat? cut a whetstone; ,violence,anatomy,weapons__armor,,,,
"Accius Noeuius, do as much with your tongue as he did with a Razor; ; cut my throat?",anatomy,weapons__armor,violence,,,,
"Robb'd the Realme of Many thousand Soules, more precious than your owne.",economics,politics,quantities,religion,,,
"a sudden transmigration with D'Ambois, out of the Knights ward, into the Duches bed.",geography,spatial,military,politics,sexuality,,
what a Metamorphosis a braue suit can worke.,transformation,character_traits__nature,courting,,,,
"Passion of death! Were not the King heere,  he should strow the Chamber like a rush.",emotions,death,politics,domestic,nature,,
"His great heart will not down, tis like the Sea That partly by his own internall heat, Partly the starr's dailie and nightly motion, Ardor and light,",character_traits__nature,anatomy,spatial,nature,temperature,astrology,light
"[His great heart will not downe, tis like the Sea], partly of the place, The diuers frames, And chiefly by the Moone, Bristled with surges,",character_traits__nature,anatomy,spatial,nature,astrology,violence,
"[His great heart will not down, tis like the Sea] neuer will be wonne, (No, not when th'hearts of all those powers are burst) ",character_traits__nature,anatomy,spatial,nature,time,violence,
"[His great heart will not down, tis like the Sea] To make retreat into his setled home, Till he be croun'd with his own quiet foam",character_traits__nature,anatomy,spatial,nature,domestic,military,politics
"here's the Lion, scared with the throat of a dunghill Cock",animals,emotions,anatomy,architecture,,,
a fellow that has newlie shak'd off his shackles; Now does he crow for that victorie.,social_relations,privation,incarceration,sounds,military,,
Tis [mockery] one of the best jigs,derision__offense___contempt,joviality,,,,,
"this Gallant ouerioied with the conceit of Monsieur's cast suit, imagines himselfe to be the Monsieur. -- ",social_status,emotions,mental_faculty__state__entities,clothes,,,
"[Gallant imagines himself] as well as the Asse, stalking in the Lions case, beare himselfe like a Lion, roaring all the huger beasts out of the Forrest?",social_status,mental_faculty__state__entities,clothes,animals,hunting__fishing,sounds,size
it [the blanket is] for his honour. -- carrie it cleane? -- when he curvets in the blanquet.,clothes,recognition,cleaning,equestrian,,,
"a perfum'd Asse, that being disguis'd with a Lions case, imagin'd himselfe a Lion",sensations,animals,theatre,mental_faculty__state__entities,,,
"Your descants do marvellous well fit this ground, ",music,etiquette,mental_faculty__state__entities,,,,
wee shall meete where your Buffonly laughters will cost ye the best blood in your bodies.,social_relations,joviality,derision__offense___contempt,economics,anatomy,,
"Ile be your Ghost to haunt you, and yee sleep on't",mystical,sleep,,,,,
these perfum'd musk Cats (being out of this priviledge) durst but once mew at vs.,sensations,animals,social_relations,resistance,sounds,,
we'll lead you a dance [fight]. ,social_relations,joviality,violence,,,,
Lesse than either [bravery and heart] Will make the Gall of Enuie ouerflow;,quantities,character_traits__nature,anatomy,emotions,nature,,
"She [Envy] feedes on outcast entrailes like a Kite: In which foule heape, if any ill lies hid, She sticks her beake into it, shakes it vp, And hurl's it all abroad, that all may view it.",emotions,food,anatomy,animals,ethics,violence,sensations
"Corruption is her [Envy's] Nutriment; but touch her With any precious ointment, and you kill her:",destruction,emotions,food,sensations,medicine,violence,
"When she [Envy] findes any filth in men, she feasts, And ",women,emotions,discovering,cleaning,men,food,
[Envy] with her blacke throat bruits it through the world ,women,emotions,colors,anatomy,language,politics,
"But if she [Envy] but taste The slenderest pittance of commended vertue, She surfets of it",women,emotions,food,quantities,ethics,recognition,
"[Envy] is like a flie, That passes all the bodies so soundest parts, And dwels upon the sores; ",women,emotions,animals,movement,anatomy,accommodation,injuries
"or if her [Envy] squint eye Haue power to find [sores] none there, she forges some:",women,emotions,anatomy,discovering,injuries,deception,
"She makes that crooked ever which is strait; Call's valour giddinesse, Iustice Tyrannie:",transformation,spatial,language,character_traits__nature,joviality,ethics,politics
"A wise man may shun her [Envy], she not her selfe; ",mental_faculty__state__entities,privation,women,emotions,,,
"Whither soeuer she [Envy] flies from her Harmes, She beares her Foe still claspt in her own Armes",women,emotions,danger__safety,suffering,labor,social_relations,anatomy
"What Atlas, or Olympus lifts his head So farre past Couert, that with air enough My words may be inform'd, And from his height I may be seene, and heard through all the world?",myth,anatomy,spatial,politics,nature,language,sensations
"A tale so worthie, and so fraught with wonder, Sticks in my iawes, and labours with euent.",language,recognition,mental_faculty__state__entities,adhesion,anatomy,labor,
at their heels their foes;,anatomy,social_relations,,,,,
"Like bonfires of Contributorie wood, Euerie mans looke shew'd, Fed with eithers spirit,",fire,materials,appearance,food,religion,,
"As one had beene a mirror to another, Like formes of life and death, each tooke from other;",appearance,life,death,,,,
in their brow Pyrrho's Opinion in great letters shone; That life and death in all respects are one.,anatomy,historical,education,language,light,life,death
"As Hector, twixt the Hosts of Greece and Troy, held up his brasen launce For signall, that both Hosts should cease from Armes, And heare him speake: So Barrisor (aduis'd) Aduanc'd his Naked Rapier twixt both sides, Ript up the Quarrell, and compar'd six liues; Then laid in ballance with six idle words,",myth,spatial,social_relations,weapons__armor,hindrance,violence,language
"D'Ambois (that like a Laurel put in fire, Sparkl'd and spit) did much much more than scorne,",nature,fire,politics,derision__offense___contempt,,,
"his wrong should incense him so like chaffe, To go so soone out; and like lighted paper, Approoue his spirit at once both fire and ashes:",ethics,fire,movement,spatial,materials,character_traits__nature,consumption
"like flame and Powder they commixt, So spritely, that I wisht they had beene spirits, ",fire,weapons__armor,adhesion,life,emotions,mystical,
"That the ne're shutting wounds, they needes must open, Might as they open'd, shut, and neuer kill:",medicine,injuries,spatial,hindrance,violence,,
But D'Ambois sword (that lightned as it flew) Shot like a pointed Comet at the face Of manly Barrisor;,weapons__armor,fire,astrology,violence,anatomy,,
free as fire; Who thrust still as he pluckt,social_relations,fire,violence,,,,
at the heart of Barrisor seal'd his anger:,anatomy,heraldry,emotions,,,,
"Then, as in Arden I have seene an Oak Long shooke with tempests, and his loftie toppe Bent to his roote, which being at length made loose (Euen groaning with his weight) he gan to Nod This way and that:",nature,violence,spatial,physical_attributes,sounds,weight,
as loath his curled Browes (Which he had oft wrapt in the sky with stormes) Should stoope:,emotions,facial_expressions,clothes,nature,social_relations,,
"his radicall fibers burst, Storme-like he fell, and hid the feare-cold Earth.",violence,nature,destruction,concealment,emotions,temperature,
Such a life  had metal in it to suruiue An age of men.,life,materials,preservation,time,men,,
"Sorrow and furie, like two opposite fumes, Met in the vpper Region of a Cloud, At the report made by this worthies fall, Brake from the earth, and with them rose Reuenge,",emotions,alchemy,social_relations,nature,language,destruction,violence
"An angrie Vnicorne in his full carier Charge with too quicke an eie a jeweller, That watcht him for the Treasure of his brow; ",emotions,myth,violence,anatomy,economics,sensations,
"And ere he [the jeweller] could get shelter of a tree, [Unicorn] Naile him with his rich Antler to the Earth: So D'Ambois ranne upon reueng'd L'Anou,",economics,danger__safety,nature,myth,violence,movement,
"all the life strings of the tw'other Were cut, ",life,clothes,violence,,,,
both fell as their spirits flew Vpwards: and still hunt Honour at the view.,death,religion,spatial,hunting__fishing,recognition,sensations,
"kneeling in the warme life of his friends, All feebled with the blood, his Rapier raind",physical_activities,temperature,life,social_relations,physical_attributes,anatomy,violence
"If ever Nature held herselfe her owne, When the great Trial of a King and subiect Met in one blood, both from one bellie springing: ",nature,mental_faculty__state__entities,judiciary,politics,anatomy,,
"Now proove her [nature] vertue and her greatnesse One,",judiciary,women,nature,ethics,character_traits__nature,,
"Lay on this violence, and all vaunt themselues Law-menders and suppliers though meere Butchers;",violence,language,judiciary,economics,food,,
"fame's deare life, Which is aboue life",recognition,life,spatial,,,,
let your life (Refin'd by passing through this merited death) Be purg'd from more such foule pollution;,life,alchemy,spatial,recognition,death,cleaning,
This is a grace that (on my knees redoubled) I craue to double this my short lifes gift;,religion,anatomy,quantities,emotions,life,,
"let no law make By any wrong it does, my life her slaue:",resistance,judiciary,ethics,life,social_status,,
"Now vanish horrors into Court attractions, For which let this balme make thee fresh and faire.",appearance,emotions,politics,joviality,medicine,,
"For though his great spirit something ouerflow, All faults are still borne, that from greatnesse grow:",character_traits__nature,nature,labor,,,,
"how it [the law] runnes, much like a turbulent sea; Heere high, and glorious, as it did contend To wash the heauens, and make the stars more pure:",judiciary,nature,spatial,recognition,cleaning,religion,astrology
"[how it [the law] runnes, much like a turbulent sea], here so low, it leaues the mud of hell To every common view:",judiciary,nature,spatial,privation,religion,social_status,sensations
there's change of weather in your lookes.,transformation,nature,facial_expressions,,,,
I cannot cloake it [mood],feelings,clothes,concealment,,,,
"as when a fume, Hot, drie and grosse: within the wombe of earth Or in her superficies begot: ",fire,temperature,spatial,reproduction,nature,,
"When extreame cold has stroke it to her [earth's] heart, The more it is comprest, the more it rageth; ",temperature,violence,women,nature,anatomy,emotions,
"[The fume] Exceeds his prison's strength that should containe it, And then it tosseth Temples in the aire; ",nature,physical_attributes,incarceration,violence,religion,,
"All barres made engines, to his [the fume's] insolent fury: So  my licentious fancy Riots within me:",incarceration,weapons__armor,nature,derision__offense___contempt,emotions,,
"I must vtter that That will in parting breake more strings in me, Than death when life parts",language,privation,violence,anatomy,death,,
"that holy man That, from my cradle, counseld for my soule: I [...] must make an agent for my bloud.",religion,lifes_cycle,assistance,anatomy,,,
my husbands height Is crowne to all my hopes:,matrimony,spatial,politics,emotions,,,
Mine honour's in mine own hands,recognition,anatomy,,,,,
"Honour, whats that? your second maidenhead:",recognition,sexuality,,,,,
"And what is that [honour]? a word: the word is gone The thing remaines: the rose is pluckt, the stalke Abides",recognition,language,privation,preservation,nature,violence,
archers ever Haue two strings to a bow: and shall great Cupid (Archer of archers both in men and women) Be worse prouided than a common archer?,hunting__fishing,weapons__armor,myth,men,women,privation,
Take (with a politique hand) this rope of Pearle;,politics,anatomy,violence,economics,,,
"So ill prepar'd, that I may take a poison, Vnder a medicine as good cheape as it [pearl]:",mental_faculty__state__entities,violence,medicine,economics,,,
I will not have it [pearl] were it worth the world.,economics,nature,,,,,
"Take comfort , triumph And crown your selfe, you part'st with victory:",feelings,military,politics,privation,,,
"with how much weight, My vow has charged it [my business].",weight,language,economics,labor,,,
"Never My fruitlesse love shall let your serious profit,",time,architecture,emotions,economics,,,
"my soul Is so long time without me, and I dead As you are absent.",religion,time,privation,death,,,
"By this kisse, receiue My soul for hostage, till I see my loue.",affection,religion,incarceration,sensations,emotions,,
the sun has left The whole worlds beauty ere my sun [husband] leaues me.,nature,privation,appearance,matrimony,,,
"in the waue of our affections We should supplie it with a full dissembling, In which each yoongest maid is growne a mother,",nature,affection,economics,deception,women,familial,
"Frailtie is fruitfull, one sinne begets another:",character_traits__nature,architecture,religion,reproduction,,,
"Our loves like sparkles are that brightest shine, When they go out",emotions,light,consumption,,,,
most vice shewes most diuine:,ethics,appearance,religion,,,,
"all the peacefull regents of the night, Silently-gliding exhalations, ",feelings,politics,darkness,sounds,movement,breathing,
"Languishing windes, and murmuring falls of waters, Sadnesse of heart [all the friends of rest]",consumption,nature,sounds,emotions,anatomy,social_relations,sleep
"ominous securenesse, Enchantments, dead sleepes, all the friends of rest, ",ethics,danger__safety,mystical,death,sleep,social_relations,
"[the peacefull regents of the night], That ever wrought upon the life of man, Extend your vtmost strengths; and ",feelings,politics,darkness,life,spatial,,
this charm'd houre Fix like the Center; make the violent wheeles Of Time and Fortune stand [all the friends of rest],sleep,social_relations,mystical,time,spatial,violence,hindrance
"[[the peacefull regents of the night,] Great Existense (The Maker's treasurie) now not seeme to bee, To all but my approaching friends and mee:",feelings,politics,darkness,religion,economics,social_relations,
"feare and hope Of one thing, at one instant fight in me:",emotions,time,violence,,,,
"the gulfe is opening, that will swallow Me and my fame for euer; I will in, And cast my selfe off, as I ne're had beene.",nature,spatial,food,recognition,time,death,
"our affections storm, Rais'd in our blood, no Reason can reform",affection,nature,anatomy,mental_faculty__state__entities,ethics,,
"with another colour, which my Art Shall teach you to lay on",colors,art,education,,,,
"your selfe must seeme The only agent, and the first Orb Move, In this our set, and cunning world of Loue.",appearance,social_relations,astrology,movement,deception,emotions,
Giue me the colour [] And trust my cunning then to lay it on.,colors,social_relations,deception,,,,
"this nights depth, For the more cleere auoiding of all note,",darkness,spatial,danger__safety,,,,
(To cleere her hands of such a louers blood),cleaning,anatomy,emotions,,,,
For the direct is crooked; Loue comes flying; The height of love is still wonne with denying.,education,spatial,emotions,animals,courting,privation,
"Humour (that is the charriot of our foode In euerie bodie) must in them be fed, To carrie their affections by it bred.",medicine,movement,food,anatomy,affection,reproduction,
"If he go backe, I die;",movement,spatial,death,,,,
"though euerie step he takes Goes to my heart, Ile rather die than seeme Not to be strange to that I most esteeme.",movement,anatomy,death,appearance,social_relations,mental_faculty__state__entities,
"at this suspicious houre , how apt best men are to suspect vs, In any cause, that makes suspicious shadow No greater than the shadow of a haire",mental_faculty__state__entities,time,character_traits__nature,darkness,size,anatomy,
"In your close embraces, I have set open all the dores of danger To my encompast honor, and my life: ",affection,discovering,architecture,danger__safety,spatial,recognition,life
"[In your close embraces, I have set open all the dores of danger] Before I was secure against death and hell;",affection,discovering,architecture,danger__safety,death,religion,
"now am subiect to the hartlesse feare: Of every shadow, and of every breath, and would change firmnesse with an aspen leafe:",social_relations,anatomy,emotions,darkness,breathing,physical_attributes,nature
the daugerous siege Sin laies about vs?,danger__safety,military,religion,,,,
the tyranny He [sin] exercises when he has expugn'd,politics,religion,language,,,,
"Like to the horror of a winters thunder, Mixt with a gushing storme, that suffer nothing To stirre abroad on earth, but their own rages; Is sin, when it has gathered head aboue us: ",emotions,nature,adhesion,violence,religion,spatial,
"No roofe, no shelter can secure us so, But he [Sin and Storm] will drown our cheeks in feare or woe.",accommodation,danger__safety,religion,nature,violence,anatomy,emotions
"Sin is a coward  and insults But on our weaknesse, in his truest valour",religion,character_traits__nature,derision__offense___contempt,,,,
"our ignorance tames vs, that we let His [Sin's] shadowes fright vs: ",mental_faculty__state__entities,education,religion,darkness,emotions,,
" like empty clouds In which our faulty apprehensions fordge The formes of Dragons, Lions, Elephants, When they hold no proportion:",spatial,nature,mental_faculty__state__entities,labor,size,myth,animals
"the slie charmes Of the witch policy makes him, like a monster Kept onely to show men for Goddesse money:",deception,mystical,women,politics,deformities__disabilities,theatre,economics
That false hagge [money] often paints him in her cloth Ten times more monstrous than he is in troth:,deception,women,economics,art,quantities,deformities__disabilities,appearance
"the secret of our meeting, Is onely guarded, and three friends as one , our three powers That in our one soule, are, as one vnited:",consumption,social_relations,preservation,quantities,religion,,
"Sooner shall torture be the Sire to pleasure, [Than the deare jewel of your fame in me, Be made an outcast to your infamy;]",violence,social_status,feelings,economics,recognition,social_relations,
"health be grievous to men long time sicke, Than the deare jewel of your fame in me, Be made an outcast to your infamy;",medicine,time,suffering,economics,recognition,social_relations,
"shall my value (sacred to your vertues) Onely giue free course to it, from my selfe: ",economics,religion,ethics,social_relations,,,
"make it [my value] flie out of the mouths of kings In golden vapours, and with awfull wings.",economics,animals,anatomy,politics,nature,,
It [fame] rests as all kings seales were set in thee.,recognition,politics,heraldry,,,,
"vrgent destiny, That (as great states men for their general end In politique iustice, make poore men offend) Enforceth my offence to make it iust:",mystical,politics,social_status,derision__offense___contempt,judiciary,ethics,
"What shall weake Dames doe, when t'whole worke of Nature Hath a strong finger in each one of vs?",women,physical_attributes,labor,nature,anatomy,,
Needs must that [the work of nature] sweep away the silly cobweb Of our still-vndone labours;,nature,labor,cleaning,animals,,,
"as to the line, the stone, Not to the stone, the line should be oppos'd; We cannot keepe our constant course in vertue:",spatial,materials,resistance,preservation,ethics,,
"every thought in our false clock of life, Oft times inuerts the whole circumference:",mental_faculty__state__entities,deception,time,life,spatial,,
Our bodies are but thicke clouds to our soules; Through which they cannnot shine when they desire:,anatomy,nature,religion,light,emotions,,
"When all the starres, and euen the sunne himselfe, Must stay the vapors times that he exhales Before he can make good his beames to vs: ",astrology,nature,time,breathing,ethics,light,
"O how can we, that are but motes to him [the sun], wandring at random in his orderd rayes, Disperse our passions fumes, with our weake labors, That are more thick & black than all earths vapors?",materials,nature,movement,consumption,emotions,labor,colors
how could sleep forbeare to sease your beauties VVhen he might challenge them as his just prise?,sleep,suffering,hunting__fishing,appearance,games__sports,economics,
"To what end should I go to bed my Lord, That wholly mist the comfort of my bed?",sexuality,domestic,nature,feelings,,,
"my desires Such doters on their humours, that my iudgement Cannot subdue them to your worthier pleasure:",emotions,mental_faculty__state__entities,anatomy,social_relations,sexuality,,
pay those Rites to sleep Thy faire eyes owe him,economics,religion,sleep,anatomy,,,
great D'Ambois (Fortunes proud mushrome shot up in a night),mystical,character_traits__nature,nature,time,,,
[great D'Ambois ] Stand like an Atlas vnderneath the King;,physical_activities,myth,spatial,politics,,,
"convert The point of Monsieurs aime on his own [king's] breast,",transformation,hunting__fishing,politics,anatomy,,,
"A Princes love is like the lightnings fume, Which no man can embrace, but must consume.",politics,emotions,nature,affection,consumption,,
"Speake home,",language,domestic,,,,,
your impartiall wordes Are like braue Faulcons that dare trusse a Fowle Much greater than themselues;,language,character_traits__nature,animals,hunting__fishing,size,,
Flatterers are Kites That checke at nothing;,recognition,animals,hindrance,,,,
"you shalt be my Eagle, And beare my thunder vnderneath your wings:",animals,labor,nature,spatial,,,
Truths words like iewels hang in th'eares of Kings.,language,economics,anatomy,politics,,,
Would I might live to see no Iewes hang there In steede of iewels;,life,sensations,judiciary,adhesion,economics,,
"sycophants [Jews] I meane, Who vse truth like the Diuell, ",deception,ethnicity__nationality,language,religion,,,
"his true Foe Cast by the Angell to the pit of feares, And bound in chaines;",social_relations,violence,religion,spatial,emotions,incarceration,
truth seldome decks Kings' eares:,language,clothes,politics,anatomy,,,
Slaue flatterie (like a Rippiers legs rowl'd up In bootes of haie-ropes) ,social_status,recognition,animals,anatomy,clothes,,
"[Slaue flatterie] with Kings' soothed guts Swadled and strappl'd, now liues only free.",social_status,recognition,politics,clothes,life,social_relations,
"O tis a subtle knaue; how like the plague Vnfelt, he strikes into the braine of truth, and rageth in his entrailes when he can, Worse than the poison of a red hair'd man.",social_status,medicine,violence,anatomy,language,deception,emotions
"Flie at him and his broode, I cast thee off, And once more giue thee surname of mine Eagle.",animals,familial,language,,,,
"let me have My lucerns too (or dogs inur'd to hunt Beasts of most rapine) but to put them up [the sycophants],",animals,education,hunting__fishing,economics,deception,,
"the peoples voice, Which is the voice of God",politics,sounds,religion,,,,
"[a great man] That affects royaltie, rising from a clapdish;",social_status,politics,economics,,,,
"[a great man] That rules so much more than his suffering King, That he makes kings of his subordinate slaues:",social_status,politics,suffering,,,,
"Himselfe and them graduate like woodmongers (Piling a stacke of billets) from the earth, Raising each other into steeples heights;",education,economics,labor,materials,nature,spatial,architecture
"on the turning props Of Protean Law, and (his owne counsell keeping)",nautical,myth,judiciary,assistance,preservation,,
"let me but Hawk at him, Ile play the Vulture, and so thumpe his liuer,",animals,theatre,violence,anatomy,,,
"That (like a huge vnlading Argosea) He shall confesse all, and you then may hang him.",size,nautical,economics,judiciary,violence,,
"Clergie man, that is in voice A Larke of Heauen;",religion,sounds,animals,,,,
[Clergie man] in heart a Mowle of earth;,religion,anatomy,animals,nature,,,
